origin_country,origin_name,destination_country,destination_name,total_exchanges
GBR,United Kingdom,CHE,Switzerland,43
IRL,Ireland,CAN,Canada,42
USA,United States,BLZ,Belize,42
NLD,Netherlands,IDN,Indonesia,42
PAN,Panama,USA,United States,42
USA,United States,ZAF,South Africa,42
PRT,Portugal,BEL,Belgium,42
BRA,Brazil,PRT,Portugal,41
GBR,United Kingdom,BEL,Belgium,41
DEU,Germany,NOR,Norway,41
USA,United States,PYF,French Polynesia,40
GBR,United Kingdom,ZAF,South Africa,40
SEN,Senegal,FRA,France,40
PRT,Portugal,BRA,Brazil,40
AUS,Australia,NLD,Netherlands,40
USA,United States,NOR,Norway,40
POL,Poland,FRA,France,40
AUS,Australia,DEU,Germany,39
BEL,Belgium,CAN,Canada,39
MAR,Morocco,BEL,Belgium,39
DEU,Germany,NZL,New Zealand,39
NLD,Netherlands,HUN,Hungary,39
NOR,Norway,USA,United States,38
BEL,Belgium,PRT,Portugal,38
CHE,Switzerland,CAN,Canada,38
GLP,Guadeloupe,ESP,Spain,38
BRA,Brazil,ARG,Argentina,38
NLD,Netherlands,NZL,New Zealand,37
DEU,Germany,MEX,Mexico,37
IDN,Indonesia,NZL,New Zealand,37
DEU,Germany,ZAF,South Africa,37
CHE,Switzerland,GBR,United Kingdom,37
PRT,Portugal,CRI,Costa Rica,37
DEU,Germany,GRC,Greece,37
SVN,Slovenia,ITA,Italy,37
NLD,Netherlands,MEX,Mexico,37
HUN,Hungary,HRV,Croatia,37
ISL,Iceland,ISL,Iceland,36
ESP,Spain,NZL,New Zealand,36
ESP,Spain,FIN,Finland,36
NZL,New Zealand,ITA,Italy,36
DNK,Denmark,BEL,Belgium,36
NCL,New Caledonia,FRA,France,36
MEX,Mexico,ITA,Italy,36
USA,United States,DOM,Dominican Republic,36
CZE,Czechia,AUT,Austria,35
PRT,Portugal,MEX,Mexico,35
DEU,Germany,IRL,Ireland,35
ITA,Italy,IDN,Indonesia,35
NZL,New Zealand,CAN,Canada,35
THA,Thailand,FRA,France,35
CHE,Switzerland,BEL,Belgium,35
CZE,Czechia,USA,United States,35
ITA,Italy,NOR,Norway,35
FRA,France,CHL,Chile,35
IDN,Indonesia,NLD,Netherlands,35
FRA,France,ECU,Ecuador,34
AUS,Australia,IDN,Indonesia,34
CRI,Costa Rica,MEX,Mexico,34
FRA,France,PER,Peru,34
NLD,Netherlands,NOR,Norway,34
IRL,Ireland,AUS,Australia,34
ITA,Italy,MAR,Morocco,34
BRA,Brazil,NLD,Netherlands,34
THA,Thailand,ESP,Spain,33
FIN,Finland,ESP,Spain,33
ESP,Spain,SVN,Slovenia,33
CRI,Costa Rica,ESP,Spain,33
CRI,Costa Rica,FRA,France,33
NZL,New Zealand,ESP,Spain,33
DOM,Dominican Republic,USA,United States,33
MLT,Malta,ESP,Spain,33
CZE,Czechia,HRV,Croatia,32
USA,United States,ISR,Israel,32
BEL,Belgium,NOR,Norway,32
ITA,Italy,SVN,Slovenia,32
CAN,Canada,DNK,Denmark,32
HUN,Hungary,GBR,United Kingdom,31
NLD,Netherlands,CZE,Czechia,31
USA,United States,VIR,"Virgin Islands, U.S.",31
ITA,Italy,POL,Poland,30
CAN,Canada,IDN,Indonesia,30
DNK,Denmark,AUT,Austria,30
BRA,Brazil,DEU,Germany,30
RUS,Russia Federation,FRA,France,30
ITA,Italy,ARG,Argentina,30
NLD,Netherlands,CRI,Costa Rica,30
NLD,Netherlands,GRC,Greece,30
NLD,Netherlands,AUS,Australia,30
FRA,France,DOM,Dominican Republic,29
AUT,Austria,HRV,Croatia,29
USA,United States,BHS,Bahamas,29
TUN,Tunisia,FRA,France,29
ARE,United Arab Emirates,FRA,France,29
CAN,Canada,COL,Colombia,29
AUS,Australia,CHE,Switzerland,29
ZAF,South Africa,NLD,Netherlands,29
NOR,Norway,DEU,Germany,29
SVN,Slovenia,HRV,Croatia,28
GBR,United Kingdom,DNK,Denmark,28
NLD,Netherlands,HRV,Croatia,28
DNK,Denmark,GBR,United Kingdom,28
BEL,Belgium,SWE,Sweden,28
MAR,Morocco,ITA,Italy,28
ARE,United Arab Emirates,USA,United States,28
HUN,Hungary,NLD,Netherlands,28
ESP,Spain,ROU,Romania,28
ARG,Argentina,CHL,Chile,27
CHL,Chile,CHL,Chile,27
USA,United States,THA,Thailand,27
MEX,Mexico,GBR,United Kingdom,27
NLD,Netherlands,IRL,Ireland,27
HRV,Croatia,DEU,Germany,27
PRT,Portugal,CAN,Canada,27
ITA,Italy,CRI,Costa Rica,27
GRC,Greece,DEU,Germany,27
ARG,Argentina,MEX,Mexico,27
ISL,Iceland,DEU,Germany,27
POL,Poland,USA,United States,27
CHE,Switzerland,PRT,Portugal,27
MEX,Mexico,DEU,Germany,27
BRA,Brazil,GBR,United Kingdom,26
BRA,Brazil,CAN,Canada,26
ITA,Italy,TUR,Turkey,26
MAR,Morocco,CAN,Canada,26
GUF,French Guiana,FRA,France,26
SVN,Slovenia,FRA,France,26
MYS,Malaysia,FRA,France,26
KHM,Cambodia,ESP,Spain,26
HRV,Croatia,HUN,Hungary,26
ZAF,South Africa,ITA,Italy,26
BGR,Bulgaria,FRA,France,26
FRA,France,TUN,Tunisia,26
IND,India,FRA,France,25
BWA,Botswana,ZAF,South Africa,25
SWE,Sweden,NLD,Netherlands,25
CAN,Canada,GRC,Greece,25
SGP,Singapore,FRA,France,25
MTQ,Martinique,ITA,Italy,25
ZAF,South Africa,ESP,Spain,25
DEU,Germany,POL,Poland,25
THA,Thailand,CAN,Canada,25
AUT,Austria,DNK,Denmark,25
GTM,Guatemala,USA,United States,25
USA,United States,MAR,Morocco,25
USA,United States,TUR,Turkey,24
THA,Thailand,AUS,Australia,24
CAN,Canada,ARG,Argentina,24
CAN,Canada,ISL,Iceland,24
USA,United States,CHL,Chile,24
REU,Reunion,CAN,Canada,24
USA,United States,ECU,Ecuador,24
REU,Reunion,ESP,Spain,24
MTQ,Martinique,GLP,Guadeloupe,24
GBR,United Kingdom,GRC,Greece,24
CHL,Chile,USA,United States,24
VIR,"Virgin Islands, U.S.",USA,United States,24
BRA,Brazil,MEX,Mexico,24
DEU,Germany,HUN,Hungary,24
FIN,Finland,FRA,France,23
GRC,Greece,GBR,United Kingdom,23
HUN,Hungary,AUS,Australia,23
PRT,Portugal,CHE,Switzerland,23
ESP,Spain,DOM,Dominican Republic,23
GLP,Guadeloupe,MTQ,Martinique,23
BGR,Bulgaria,ESP,Spain,23
GBR,United Kingdom,ISL,Iceland,22
ZAF,South Africa,GBR,United Kingdom,22
POL,Poland,DEU,Germany,22
AUT,Austria,HUN,Hungary,22
FRA,France,PAN,Panama,22
FIN,Finland,FIN,Finland,22
IRL,Ireland,PRT,Portugal,22
THA,Thailand,ITA,Italy,22
ESP,Spain,ISR,Israel,22
HRV,Croatia,AUT,Austria,22
ISL,Iceland,GBR,United Kingdom,22
CAN,Canada,BRA,Brazil,21
CAN,Canada,HRV,Croatia,21
REU,Reunion,ZAF,South Africa,21
GRC,Greece,USA,United States,21
ABW,Aruba,USA,United States,21
SVN,Slovenia,ESP,Spain,21
PRT,Portugal,IDN,Indonesia,21
USA,United States,GTM,Guatemala,21
ITA,Italy,BRA,Brazil,21
CRI,Costa Rica,ITA,Italy,21
ECU,Ecuador,USA,United States,21
HUN,Hungary,PRT,Portugal,21
USA,United States,ABW,Aruba,21
FRA,France,SEN,Senegal,21
FRA,France,JPN,Japan,21
IRL,Ireland,DNK,Denmark,20
FRA,France,CYP,Cyprus,20
GBR,United Kingdom,CRI,Costa Rica,20
CAN,Canada,PAN,Panama,20
BRA,Brazil,CHE,Switzerland,20
BHS,Bahamas,USA,United States,20
AUT,Austria,PRT,Portugal,20
FRA,France,GUF,French Guiana,20
JPN,Japan,FRA,France,20
DNK,Denmark,HUN,Hungary,20
PYF,French Polynesia,NZL,New Zealand,20
NLD,Netherlands,THA,Thailand,20
DEU,Germany,THA,Thailand,20
MTQ,Martinique,MTQ,Martinique,20
